INDEX_COLUMN_x,IDX,name_x,address_x,postcode_x,company_x,job_x,phone_number_x,email_x,user_name_x,ip_address_x,credit_card_number_x,date_x,total_int_x,total_float_x,total_int1_x,total_int2_x,total_int3_x,INDEX_COLUMN_y,name_y,address_y,postcode_y,company_y,job_y,phone_number_y,email_y,user_name_y,ip_address_y,credit_card_number_y,date_y,total_int_y,total_float_y,total_int1_y,total_int2_y,total_int3_y
0,1f489582f7ea4c208b70219a2bb6a322227a7516630530a10ed7f2710cfbe447,이재현,인천광역시 양천구 언주06거리 (옥자김박면),34252,고김이,인사 및 교육/훈련 사무원,016-717-0761,vgim@dreamwiz.com,jaehyeongim,192.168.153.208,3509625753334832,2009-04-03,91,8.859454924527,194840,614,8206,0,이재현,인천광역시 양천구 언주06거리 (옥자김박면),34252,고김이,인사 및 교육/훈련 사무원,016-717-0761,vgim@dreamwiz.com,jaehyeongim,192.168.153.208,3509625753334832,2009-04-03,91,8.859454924527,194840,614,8206
1,0b14d501a594442a01c6859541bcb3e8164d183d32937b851835442f69d5c94e,서은경,경상남도 서천군 영동대25로,35071,주식회사 박김이,전산 자료 입력원 및 사무 보조원,032-779-9530,siu74@live.com,yeongsu29,192.168.230.237,6588431833845419,2014-10-09,23,8.382816722,475297,428,6528,1,서은경,경상남도 서천군 영동대25로,35071,주식회사 박김이,전산 자료 입력원 및 사무 보조원,032-779-9530,siu74@live.com,yeongsu29,192.168.230.237,6588431833845419,2014-10-09,23,8.382816722,475297,428,6528
2,6cf615d5bcaac778352a8f1f3360d23f02f34ec182e259897fd6ce485d7870d4,양은경,대전광역시 금천구 백제고분1길 (상철노최읍),55214,(주) 이황박,자산 운용가,010-5229-4672,dhwang@gugweoni.net,nbag,172.18.224.223,36738582612746,1982-12-29,48,6.97,702866,638,754,2,양은경,대전광역시 금천구 백제고분1길 (상철노최읍),55214,(주) 이황박,자산 운용가,010-5229-4672,dhwang@gugweoni.net,nbag,172.18.224.223,36738582612746,1982-12-29,48,6.97,702866,638,754
3,5906ac361a137e2d286465cd6588ebb5ac3f5ae955001100bc41577c3d751764,나예지,충청북도 수원시 강남대10길,15717,주식회사 김박고,선박 갑판승무원 및 관련 종사원,019-425-6621,seonyeong07@naver.com,ogyeongja,172.18.214.34,4418500333508700,1997-11-08,37,5.3908194759,606699,649,6904,3,나예지,충청북도 수원시 강남대10길,15717,주식회사 김박고,선박 갑판승무원 및 관련 종사원,019-425-6621,seonyeong07@naver.com,ogyeongja,172.18.214.34,4418500333508700,1997-11-08,37,5.3908194759,606699,649,6904
4,b97873a40f73abedd8d685a7cd5e5f85e4a9cfb83eac26886640a0813850122b,윤상철,세종특별자치시 성북구 백제고분89로,67262,유한회사 최,시스템 소프트웨어 개발자,031-909-4465,coegyeonghyi@hanmail.net,yeongil63,192.168.33.51,180028880453488,2002-06-20,59,7.520819119,750477,364,1617,4,윤상철,세종특별자치시 성북구 백제고분89로,67262,유한회사 최,시스템 소프트웨어 개발자,031-909-4465,coegyeonghyi@hanmail.net,yeongil63,192.168.33.51,180028880453488,2002-06-20,59,7.520819119,750477,364,1617
5,8b2c86ea9cf2ea4eb517fd1e06b74f399e7fec0fef92e3b482a6cf2e2b092023,나성훈,인천광역시 도봉구 백제고분가 (광수이문읍),10993,주식회사 조,전산 자료 입력원 및 사무 보조원,051-094-7906,gyeongsug47@bagan.kr,bcoe,192.168.92.217,30547607701723,1991-06-30,9,4.451511,422256,332,5607,5,나성훈,인천광역시 도봉구 백제고분가 (광수이문읍),10993,주식회사 조,전산 자료 입력원 및 사무 보조원,051-094-7906,gyeongsug47@bagan.kr,bcoe,192.168.92.217,30547607701723,1991-06-30,9,4.451511,422256,332,5607
6,598a1a400c1dfdf36974e69d7e1bc98593f2e15015eed8e9b7e47a83b31693d5,윤정수,광주광역시 서초구 반포대6길 (현준박심읍),79802,(주) 이이박,미장공,033-478-5964,juweongim@gimgimi.kr,sunog53,10.227.218.159,3564503035669683,1980-11-10,34,3.780318511927,892236,607,3936,6,윤정수,광주광역시 서초구 반포대6길 (현준박심읍),79802,(주) 이이박,미장공,033-478-5964,juweongim@gimgimi.kr,sunog53,10.227.218.159,3564503035669683,1980-11-10,34,3.780318511927,892236,607,3936
7,5860836e8f13fc9837539a597d4086bfc0299e54ad92148d54538b5c3feefb7c,안재현,경상북도 양양군 반포대가 (재호황김읍),45254,윤한나,기타 자동차 운전원,019-901-0477,jeonjeongnam@baecoe.kr,ehwang,172.17.11.117,580577848279,1974-12-05,2,2.700993,159269,216,2962,7,안재현,경상북도 양양군 반포대가 (재호황김읍),45254,윤한나,기타 자동차 운전원,019-901-0477,jeonjeongnam@baecoe.kr,ehwang,172.17.11.117,580577848279,1974-12-05,2,2.700993,159269,216,2962
8,57f3ebab63f156fd8f776ba645a55d96360a15eeffc8b0e4afe4c05fa88219aa,이명숙,울산광역시 동대문구 언주244가,94729,(주) 백류강,음료 제조관련 기계 조작원,051-342-6078,subini@hanmail.net,rgim,192.168.230.184,342406688599964,1974-06-19,6,1.6321068032105,529722,127,3150,8,이명숙,울산광역시 동대문구 언주244가,94729,(주) 백류강,음료 제조관련 기계 조작원,051-342-6078,subini@hanmail.net,rgim,192.168.230.184,342406688599964,1974-06-19,6,1.6321068032105,529722,127,3150
9,9323dd6786ebcbf3ac87357cc78ba1abfda6cf5e55cd01097b90d4a286cac90e,손준영,대전광역시 용산구 역삼로,93706,김윤박,발전 및 배전장치 조작원,011-928-6995,doyunhwang@jusighoesa.com,mgwag,172.22.142.245,180018071828499,2013-03-07,84,3.0,910447,352,127,9,손준영,대전광역시 용산구 역삼로,93706,김윤박,발전 및 배전장치 조작원,011-928-6995,doyunhwang@jusighoesa.com,mgwag,172.22.142.245,180018071828499,2013-03-07,84,3.0,910447,352,127
