IDX,name,address,postcode,company,job,phone_number,email,user_name,ip_address,credit_card_number,date,total_int,total_float,total_int1,total_int2,total_int3
0,이재현,인천광역시 양천구 언주06거리 (옥자김박면),34252,고김이,인사 및 교육/훈련 사무원,016-717-0761,vgim@dreamwiz.com,jaehyeongim,192.168.153.208,3509625753334832,2009-04-03,91,8.859454924527,194840,614,8206
1,서은경,경상남도 서천군 영동대25로,35071,주식회사 박김이,전산 자료 입력원 및 사무 보조원,032-779-9530,siu74@live.com,yeongsu29,192.168.230.237,6588431833845419,2014-10-09,23,8.382816722,475297,428,6528
2,양은경,대전광역시 금천구 백제고분1길 (상철노최읍),55214,(주) 이황박,자산 운용가,010-5229-4672,dhwang@gugweoni.net,nbag,172.18.224.223,36738582612746,1982-12-29,48,6.97,702866,638,754
3,나예지,충청북도 수원시 강남대10길,15717,주식회사 김박고,선박 갑판승무원 및 관련 종사원,019-425-6621,seonyeong07@naver.com,ogyeongja,172.18.214.34,4418500333508700,1997-11-08,37,5.3908194759,606699,649,6904
4,윤상철,세종특별자치시 성북구 백제고분89로,67262,유한회사 최,시스템 소프트웨어 개발자,031-909-4465,coegyeonghyi@hanmail.net,yeongil63,192.168.33.51,180028880453488,2002-06-20,59,7.520819119,750477,364,1617
5,나성훈,인천광역시 도봉구 백제고분가 (광수이문읍),10993,주식회사 조,전산 자료 입력원 및 사무 보조원,051-094-7906,gyeongsug47@bagan.kr,bcoe,192.168.92.217,30547607701723,1991-06-30,9,4.451511,422256,332,5607
6,윤정수,광주광역시 서초구 반포대6길 (현준박심읍),79802,(주) 이이박,미장공,033-478-5964,juweongim@gimgimi.kr,sunog53,10.227.218.159,3564503035669683,1980-11-10,34,3.780318511927,892236,607,3936
7,안재현,경상북도 양양군 반포대가 (재호황김읍),45254,윤한나,기타 자동차 운전원,019-901-0477,jeonjeongnam@baecoe.kr,ehwang,172.17.11.117,580577848279,1974-12-05,2,2.700993,159269,216,2962
8,이명숙,울산광역시 동대문구 언주244가,94729,(주) 백류강,음료 제조관련 기계 조작원,051-342-6078,subini@hanmail.net,rgim,192.168.230.184,342406688599964,1974-06-19,6,1.6321068032105,529722,127,3150
9,손준영,대전광역시 용산구 역삼로,93706,김윤박,발전 및 배전장치 조작원,011-928-6995,doyunhwang@jusighoesa.com,mgwag,172.22.142.245,180018071828499,2013-03-07,84,3.0,910447,352,127
10,김지아,충청남도 양양군 백제고분324로 (현우진면),70343,주김윤,기타 전문서비스 관리자,010-6257-6470,yeonghwan65@hanmail.net,ugim,192.168.240.218,4264520729171172722,2013-08-17,44,6.82776,964725,729,3155
11,이영미,울산광역시 구로구 테헤란98가 (진우최동),99153,유한회사 정박김,관제사,053-083-1817,jiujang@gimhan.com,ecoe,172.27.101.26,30532344695826,1978-05-09,15,3.1,313476,14,3960
12,차성수,충청북도 광명시 도산대46길 (영일이읍),73287,권오김,대학 시간강사,061-939-7084,jeongunggim@dreamwiz.com,nosubin,192.168.90.26,630492361344,1986-03-04,52,6.714295642,891666,348,3692
13,김현정,부산광역시 구로구 봉은사길 (건우김김읍),87533,백김,캐드원,031-053-3575,fi@anbaggim.com,sanghogim,192.168.235.12,4388375294107172,2009-02-11,56,6.9018,420167,88,7007
14,오민서,경상남도 삼척시 학동237길,21218,주식회사 안강박,웹 및 멀티미디어 기획자,033-953-2977,gweonhyejin@yuhanhoesa.org,wgim,172.24.2.108,2228329723329863,2007-10-07,8,5.6005824,977988,938,2757
15,김준호,경상북도 여주시 서초대6가,29793,오윤황,건축가 및 건축공학 기술자,054-880-5248,mjang@live.com,ijeongho,172.16.1.175,4335488202449364,2018-05-07,43,5.8019910517602,250371,220,4703
16,김경숙,강원도 가평군 논현75로,78307,박임김,노점 및 이동 판매원,010-8200-4457,yeonghwanseo@naver.com,qgim,172.27.5.195,30484039453667,1988-07-01,90,3.86781,524706,651,3422
17,박상철,서울특별시 강북구 양재천길,22175,이김,전기 부품 및 제품제조 기계조작원,052-606-8631,gimbyeongceol@naver.com,gimdoyun,172.27.109.231,180082732654504,2011-03-25,23,5.268179,44893,265,8252
18,이도윤,전라남도 수원시 팔달구 테헤란0로 (춘자장김읍),56742,윤김,정부행정 관리자,070-0118-0887,dohyeonnam@gimgimjo.net,hyeonjunsong,10.197.196.97,180027965555498,2005-05-05,73,4.523,602374,784,4771
19,이채원,울산광역시 강남구 역삼길 (진우김면),23165,윤배,금속가공관련 제어장치 조작원,055-287-0339,yeonghyigim@naver.com,seoyunheo,192.168.153.79,3535275771257892,2015-01-31,25,1.22787030123992,744226,489,2009
20,오미영,제주특별자치도 안산시 영동대로 (승현장김면),37772,송김심,감정평가 전문가,052-384-1095,zim@bagogang.com,cunjajin,192.168.71.92,6011206265491305,1996-09-06,17,4.29546088486804,75632,546,778
21,박상호,울산광역시 도봉구 도산대로 (정남손박면),05392,유한회사 김김박,웹 및 멀티미디어 기획자,070-5932-9572,vha@gimyugim.net,jihyeongim,10.124.225.98,503813196774,1972-04-06,20,2.7722,136820,712,8362
22,조상현,전라남도 수원시 장안구 학동가 (숙자강리),14177,주식회사 황이고,일식 주방장 및 조리사,055-329-6010,seongjinho@coebagi.org,yujingim,192.168.218.26,676102329940,1981-09-03,34,2.63010912572,980836,355,5123
23,류준영,세종특별자치시 중구 언주로 (수빈김김읍),15023,(유) 김,제분 및 도정 관련 기계 조작원,054-047-6891,yeongja61@gimgim.kr,minsujeong,10.19.159.154,4912214101027080,2013-08-03,84,4.5524,337743,502,170
24,이승현,제주특별자치도 용인시 수지구 양재천가 (지훈박리),91397,유한회사 남,보조 교사 및 기타 교사,016-936-4202,minseog09@yuhanhoesa.com,eunseoyun,172.28.47.95,3532333320677889,1979-06-25,48,8.88611658854,617108,213,6204
25,김혜진,충청남도 청양군 오금00가,32244,한하,화물열차 차장 및 관련 종사원,019-615-2673,jeonghogim@live.com,yeongil72,192.168.68.232,4759174499019,2017-10-09,30,4.359423599,183488,180,7887
26,오성민,경상북도 부천시 원미구 삼성317길,35933,서김김,귀금속 및 보석 세공원,016-464-0907,seongmingim@yuhanhoesa.com,iseonghun,10.185.79.156,2247317457647334,1992-12-19,73,4.6171767954613,156765,988,1918
27,이서윤,세종특별자치시 서구 학동길 (하은문면),17351,(유) 고,금속가공관련 제어장치 조작원,062-227-1140,sonminsu@live.com,gmun,192.168.145.142,4786770335657185,1992-07-12,43,3.312723539678,206867,726,169
